rxn,rxn_name,equation,pathway,gene,ActivatedMyeloidCells___aCTLA4,ActivatedMyeloidCells___aPD1,ActivatedMyeloidCells___aPD1aCTLA4,ActivatedMyeloidCells___Control,HighlyProliferativeTCells___aCTLA4,HighlyProliferativeTCells___aPD1,HighlyProliferativeTCells___aPD1aCTLA4,HighlyProliferativeTCells___Control,OtherMyeloidCells___aCTLA4,OtherMyeloidCells___aPD1,OtherMyeloidCells___aPD1aCTLA4,OtherMyeloidCells___Control
34DHPHAMT,"3,4-Dihydroxyphenylacetate:amet O-methyltransferase",34DHPHAMT: 34dhpha_c + amet_c --> ahcys_c + h_c + homoval_c,Tyrosine metabolism,Comt,0.79180613854827,0.9735003515193115,0.810014002864073,0.8978522590781857,0.8504681588178191,0.8358967499496096,0.8883692744013216,0.43174229800617336,0.7976265794260068,0.8490056642575322,0.9694604909672322,0.8111010550743962
34DHPLACOX_NADP,34DHPLACOX LPAREN NADP RPAREN,34DHPLACOX_NADP: 34dhpac_c + h2o_c + nadp_c <=> 34dhpha_c + 2.0 h_c + nadph_c,Tyrosine metabolism,Aldh3a1;;;Aldh3b1;;;Aldh3b2,0.3445245282366125,0.40790917036852836,0.4403056273986868,0.42647875588787443,0.023450956939432558,0.009702081887300122,0.009477655778239542,0.008005443438064199,0.2964322387437682,0.3147405095298308,0.26911396975147556,0.2849503044432076
34DHXMANDACOX,"3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase",34DHXMANDACOX: 34dhmald_c + h2o_c + nad_c --> 34dhoxmand_c + 2.0 h_c + nadh_c,Tyrosine metabolism,Aldh1a3;;;Aldh3a1;;;Aldh3b1,0.34579692627000724,0.40846815884828097,0.4419065335184029,0.4328527157775953,0.023450956939432558,0.017216104531012095,0.009477655778239542,0.008005443438064199,0.2997850247504565,0.31664132661743666,0.2701715247986022,0.28582403949738827
34DHXMANDACOX_NADP,"3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase",34DHXMANDACOX_NADP: 34dhmald_c + h2o_c + nadp_c <=> 34dhoxmand_c + 2.0 h_c + nadph_c,Tyrosine metabolism,Aldh3b1;;;Aldh3b2,0.479677981097971,0.5627570579391029,0.6041917850211406,0.5865531130447819,0.0349733782280697,0.014518050736553333,0.014183010390277757,0.011984260044986246,0.41711506427695455,0.44138273217969254,0.3806302227941309,0.4018210898969475
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,34HPPOR: 34hpp_c + o2_c --> co2_c + hgentis_c,Tyrosine metabolism,Hpd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3AIBTm,"L-3-aminoisobutyrate transaminase, mitochondrial",3AIBTm: 2mop_m + glu__L_m <=> 3aib_m + akg_m,"Valine, Leucine, and Isoleucine Metabolism",Abat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3DSPHR,3 Dehydrosphinganine reductase,3DSPHR: 3dsphgn_c + h_c + nadph_c --> nadp_c + sphgn_c,Sphingolipid Metabolism,Kdsr,0.0932149808577318,0.08118792249255881,0.0862735739379939,0.10874272619285652,0.07379386260620681,0.19446345778355417,0.10934364442192811,0.1086281671922266,0.10323627071546021,0.07972846586249752,0.0925282993840058,0.11247286780221921
3HAO,3 hydroxyanthranilate 3 4 dioxygenase,3HAO: 3hanthrn_c + o2_c --> cmusa_c + h_c,Tryptophan metabolism,Haao,0.0376658495406206,0.007008740088406901,0.0260054090838165,0.020851137197732295,0.0,0.0363528674625322,0.005024560049522001,0.0,0.04763166323566009,0.0487951893707909,0.0298606714259654,0.05999959216700142
3HBCDm,"3-hydroxybutyryl-CoA dehydratase, mitochondrial",3HBCDm: b2coa_m + h2o_m <=> 3hbcoa__R_m,Butanoate Metabolism,Echdc2,0.0,0.0018699767748884,0.0,0.0,0.004320180687237001,0.012421866459966801,0.015473361061596302,0.0,0.0011477092641255,0.0,0.0,0.006708885571380801
3HKYNAKGAT,3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase,3HKYNAKGAT: akg_c + hLkynr_c --> 42A3HP24DB_c + glu__L_c,Tryptophan metabolism,Aadat;;;Kyat1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3HLYTCL,3-Hydroxy-L-tyrosine carboxy-lyase,3HLYTCL: 34dhphe_c + h_c --> co2_c + dopa_c,Tyrosine metabolism,Ddc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008452485199698413
3HXKYNDCL,3-Hydroxykynurenamine decarboxy-lyase,3HXKYNDCL: hLkynr_c + h_c --> 3hxkynam_c + co2_c,Tryptophan metabolism,Ddc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008452485199698413
3HXKYNOXDA,3-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing),3HXKYNOXDA: 3hxkynam_c + o2_c --> 48dhoxquin_c + h2o2_c + nh4_c,Tryptophan metabolism,Maoa;;;Maob,0.008173740151430667,0.002515470316545866,0.0068954520389643845,0.007258844423551994,0.005352283748531093,0.0,0.0,0.007678880876222627,0.00578438168514002,0.004392316568025819,0.0043095641909263365,0.009610148167323711
3M4HDXPAC,3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase,3M4HDXPAC: 3mox4hpac_c + h2o_c + nad_c <=> 2.0 h_c + homoval_c + nadh_c,Tyrosine metabolism,Aldh1a3;;;Aldh3a1;;;Aldh3b1;;;Aldh3b2,0.26990248441644155,0.32091144298960056,0.3483674556844228,0.3409172411757849,0.017639573470752637,0.012939785544831073,0.007116649707355682,0.006010082726162908,0.23283760330968128,0.2463776573398441,0.20915972866299434,0.22165740123624697
3MOX4HOXPGALDOX,3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase,3MOX4HOXPGALDOX: 3m4hpga_c + h2o_c + nad_c --> 3mox4hoxm_c + 2.0 h_c + nadh_c,Tyrosine metabolism,Aldh1a3;;;Aldh3a1;;;Aldh3b1;;;Aldh3b2,0.26990248441644155,0.32091144298960056,0.3483674556844228,0.3409172411757849,0.017639573470752637,0.012939785544831073,0.007116649707355682,0.006010082726162908,0.23283760330968128,0.2463776573398441,0.20915972866299434,0.22165740123624697
3MOX4HOXPGALDOX_NADP,3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase,3MOX4HOXPGALDOX_NADP: 3m4hpga_c + h2o_c + nadp_c <=> 3mox4hoxm_c + 2.0 h_c + nadph_c,Tyrosine metabolism,Aldh1a3;;;Aldh3a1;;;Aldh3b1;;;Aldh3b2,0.26990248441644155,0.32091144298960056,0.3483674556844228,0.3409172411757849,0.017639573470752637,0.012939785544831073,0.007116649707355682,0.006010082726162908,0.23283760330968128,0.2463776573398441,0.20915972866299434,0.22165740123624697
3MOXTYROX,3-Methoxytyramine:oxygen oxidoreductase (deaminating),3MOXTYROX: 3moxtyr_c + h2o_c + o2_c --> 3mox4hpac_c + h2o2_c + nh4_c,Tyrosine metabolism,Maoa;;;Maob,0.008173740151430667,0.002515470316545866,0.0068954520389643845,0.007258844423551994,0.005352283748531093,0.0,0.0,0.007678880876222627,0.00578438168514002,0.004392316568025819,0.0043095641909263365,0.009610148167323711
3NTD7l,"3'-nucleotidase (AMP), lysosome",3NTD7l: 3amp_l + h2o_l --> adn_l + pi_l,Nucleic acid degradation,Acp2,0.5426016785744179,0.5726854717235171,0.32575436235798283,0.5672866242159958,0.0755602748910644,0.0665657588720381,0.05787542158609331,0.0176013264359602,0.4210681297855877,0.373755613232468,0.27589170549964515,0.4329712443909157
3SALAASPm,Cysteinesulfinate-aspartate mitochondrial shuttle,3SALAASPm: 3sala_m + asp__L_c <=> 3sala_c + asp__L_m,"Transport, Mitochondrial",Slc25a12;;;Slc25a13,0.06406001601660742,0.1519675550899741,0.06493680731513163,0.11412185285751607,0.08244734695059251,0.09327743654713952,0.12973548671883603,0.16250180451923468,0.101113074470196,0.146536221387954,0.10313737226564389,0.1295089112535615
3SALACBOXL,3-Sulfino-L-alanine carboxy-lyase,3SALACBOXL: 3sala_c + h_c --> co2_c + hyptaur_c,Taurine and hypotaurine metabolism,Csad;;;Gad1;;;Gad2,0.04105794755094052,0.02487168484318043,0.008546339588167706,0.0016657085833023891,0.004220862530449499,0.02996096750870933,0.014631008114095505,0.021386439473337727,0.02123422349127905,0.013785487393830861,0.00817925881526869,0.020682334054555065
3SALATAi,3-sulfino-alanine transaminase (irreversible),3SALATAi: 3sala_c + akg_c + h_c --> 3snpyr_c + glu__L_c,Cysteine Metabolism,Got1,0.4966017589492041,0.30214328728216505,0.4729011049375991,0.4131776331183292,0.4274955271163962,0.5779171208995568,0.5660793146264481,0.5255552434489621,0.3691423960049096,0.3692871447402225,0.4938538373579102,0.5011953108127312
3SALATAim,"3-sulfino-alanine transaminase (irreversible), mitochondrial",3SALATAim: 3sala_m + akg_m + h_m --> 3snpyr_m + glu__L_m,Cysteine Metabolism,Got2,0.222824030075985,0.2192541807273468,0.21742427252754026,0.800702740107477,0.888924069086832,0.7448169494154477,0.6899180529817436,0.6188304718047539,0.3918317540058116,0.3582669008087695,0.402628873423874,0.5111517061688311
41R1H2MAE12BOOX,"4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",41R1H2MAE12BOOX: adrnl_c + h2o_c + o2_c --> 34dhmald_c + h2o2_c + mma_c,Tyrosine metabolism,Maoa;;;Maob,0.008173740151430667,0.002515470316545866,0.0068954520389643845,0.007258844423551994,0.005352283748531093,0.0,0.0,0.007678880876222627,0.00578438168514002,0.004392316568025819,0.0043095641909263365,0.009610148167323711
41R2A1H12BOOX,"4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",41R2A1H12BOOX: h2o_c + nrpphr_c + o2_c --> 34dhmald_c + h2o2_c + nh4_c,Tyrosine metabolism,Maoa;;;Maob,0.008173740151430667,0.002515470316545866,0.0068954520389643845,0.007258844423551994,0.005352283748531093,0.0,0.0,0.007678880876222627,0.00578438168514002,0.004392316568025819,0.0043095641909263365,0.009610148167323711
42A12BOOX,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",42A12BOOX: dopa_c + h2o_c + o2_c --> 34dhpac_c + h2o2_c + nh4_c,Tyrosine metabolism,Aoc1;;;Aoc2;;;Aoc3;;;Maoa;;;Maob,0.003277517612975195,0.0010069475646866494,0.003183991307643235,0.00535035231562111,0.0059662182225594575,0.0,0.0,0.0030786317828467055,0.003693337956815274,0.002310586527375197,0.001726054996383256,0.004101552105601515
4HGLSDm,L 4 hydroxyglutamate semialdehyde dehydrogenase  mitochondrial,4HGLSDm: 4hglusa_m + h2o_m + nad_m <=> e4hglu_m + 2.0 h_m + nadh_m,Arginine and Proline Metabolism,Aldh4a1,0.0144325997678864,0.0262309348865677,0.010122793660435201,0.0,0.011889176670768,0.0,0.0260777160416288,0.0235117547323487,0.016300930082655096,0.0174887435195484,0.030042105591809497,0.0243769173557406
4HOXPACDOX_NADP,4HOXPACDOX LPAREN NADP RPAREN,4HOXPACDOX_NADP: 4hoxpacd_c + h2o_c + nadp_c <=> 4hphac_c + 2.0 h_c + nadph_c,Tyrosine metabolism,Aldh1a3;;;Aldh3a1;;;Aldh3b1;;;Aldh3b2,0.26990248441644155,0.32091144298960056,0.3483674556844228,0.3409172411757849,0.017639573470752637,0.012939785544831073,0.007116649707355682,0.006010082726162908,0.23283760330968128,0.2463776573398441,0.20915972866299434,0.22165740123624697
5ADTSTSTERONESULT,5alpha-Dihydrotestosterone sulfotransferase,5ADTSTSTERONESULT: 5adtststerone_c + paps_c --> 5adtststerones_c + h_c + pap_c,Steroid Metabolism,Sult2a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5FTHFt2,5-formyltetrahydrofolate transport via anion exchange,5FTHFt2: 5fthf_e + oh1_c <=> 5fthf_c + oh1_e,"Transport, Extracellular",Slc19a1,0.0164779763881742,0.0388040884910549,0.0285321938111534,0.023435468010338904,0.1152300057100524,0.09780175488452131,0.1399861551427887,0.04417923692179419,0.0395346017487556,0.059446488779516415,0.0242326295591226,0.039549385711126
5HLTDL,5-Hydroxy-L-tryptophan decarboxy-lyase,5HLTDL: 5htrp_c + h_c --> co2_c + srtn_c,Tryptophan metabolism,Ddc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008452485199698413
5HOXINDACTO2OX,5-Hydroxyindoleacetaldehyde:oxygen oxidoreductase,5HOXINDACTO2OX: 5hoxindact_c + h2o_c + o2_c --> 5hoxindoa_c + h2o2_c + h_c,Tryptophan metabolism,Aox1,0.0,0.0035771008313182006,0.0,0.0,0.0,0.0,0.0,0.0,0.0032083365416698,0.0,0.0,0.0
5HOXINDACTOX,5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase,5HOXINDACTOX: 5hoxindact_c + h2o_c + nad_c --> 5hoxindoa_c + 2.0 h_c + nadh_c,Tryptophan metabolism,Aldh1a1;;;Aldh1a2;;;Aldh3a2;;;Aldh7a1;;;Aldh9a1,0.05486534866952069,0.062287128847172704,0.09052860639908424,0.07986254486715422,0.10862860751975083,0.059522466458832676,0.14488213548112283,0.08469926847638531,0.07824114904219809,0.0770002228796028,0.09565481348846736,0.0737235949629787
5HOXINOXDA,5-Hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing),5HOXINOXDA: h2o_c + o2_c + srtn_c --> 5hoxindact_c + h2o2_c + nh4_c,Tryptophan metabolism,Maoa;;;Maob,0.008173740151430667,0.002515470316545866,0.0068954520389643845,0.007258844423551994,0.005352283748531093,0.0,0.0,0.007678880876222627,0.00578438168514002,0.004392316568025819,0.0043095641909263365,0.009610148167323711
5HTRPDOX,"5-Hydroxy-L-tryptophan:oxygen 2,3-dioxygenase (indole-decyclizing)",5HTRPDOX: 5htrp_c + o2_c --> 5hoxnfkyn_c,Tryptophan metabolism,Ido1,0.018713827386802495,0.025372118056931802,0.0050129932633673,0.0,0.0,0.017768680213508393,0.0,0.0,0.0250918346648547,0.0285950829017524,0.0115102530513126,0.0050623507833293
5HTRPVESSEC,5-hydroxy-L-tryptophan secretion via secretory vesicle (ATP driven),5HTRPVESSEC: 3.0 5htrp_c + 2.0 atp_c + 2.0 h2o_c --> 3.0 5htrp_e + 2.0 adp_c + 2.0 h_c + 2.0 pi_c,"Transport, Extracellular",Slc18a1;;;Slc18a2,0.0016272111190062403,0.0,0.0,0.0,0.0,0.0,0.0,0.0032355547904641827,0.00396347664558451,0.003040358855876685,0.0,0.0007743580958916216
5HXKYNDCL,5-Hydroxykynurenamine decarboxy-lyase,5HXKYNDCL: 5hxkyn_c + h_c --> 5hxkynam_c + co2_c,Tryptophan metabolism,Ddc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008452485199698413
5HXKYNOXDA,5-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing),5HXKYNOXDA: 5hxkynam_c + o2_c --> 46dhoxquin_c + h2o2_c + nh4_c,Tryptophan metabolism,Maoa;;;Maob,0.008173740151430667,0.002515470316545866,0.0068954520389643845,0.007258844423551994,0.005352283748531093,0.0,0.0,0.007678880876222627,0.00578438168514002,0.004392316568025819,0.0043095641909263365,0.009610148167323711
5MTHFt2,5-methyltetrahydrofolate transport via anion exchange,5MTHFt2: 5mthf_e + oh1_c <=> 5mthf_c + oh1_e,"Transport, Extracellular",Slc19a1,0.0164779763881742,0.0388040884910549,0.0285321938111534,0.023435468010338904,0.1152300057100524,0.09780175488452131,0.1399861551427887,0.04417923692179419,0.0395346017487556,0.059446488779516415,0.0242326295591226,0.039549385711126
A4GALTc,Lactosylceramide 4-alpha-galactosyltransferase,A4GALTc: galgluside_hs_c + udpgal_c --> h_c + thcrm_hs_c + udp_c,Sphingolipid Metabolism,A4galt,0.0,0.016106613161025296,0.0,0.0048292381393911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025335312511104006
A4GALTg,Lactosylceramide 4-alpha-galactosyltransferase,A4GALTg: galgluside_hs_g + udpgal_g --> h_g + thcrm_hs_g + udp_g,Sphingolipid Metabolism,A4galt,0.0,0.016106613161025296,0.0,0.0048292381393911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025335312511104006
A4GNT1g,"Alpha 1,4-N-acetylglucosaminyltransferase, Golgi apparatus",A4GNT1g: T_antigen_g + uacgam_g --> gncore1_g + h_g + udp_g,O-Glycan Biosynthesis,A4gnt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GNT2g,"Alpha 1,4-N-acetylglucosaminyltransferase, Golgi apparatus",A4GNT2g: core2_g + uacgam_g --> gncore2_g + h_g + udp_g,O-Glycan Biosynthesis,A4gnt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AACOAT,Acetoacetyl-CoA:acetate CoA-transferase,AACOAT: acac_c + atp_c + coa_c <=> aacoa_c + amp_c + ppi_c,Propanoate Metabolism,Aacs,0.0293751557362527,0.046025799575934695,0.05624821627051391,0.008990218642117302,0.07168221288617041,0.05949491188500941,0.08290537953241231,0.07391123484049231,0.040332364586469,0.0656026564302591,0.0304048045574558,0.0477850947046263
AACTOOR,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing),AACTOOR: aact_c + h2o_c + o2_c --> h2o2_c + mthgxl_c + nh4_c,"Glycine, Serine, and Threonine Metabolism",Aoc3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001236162703735
AATA,2 aminoadipate transaminase,AATA: 2oxoadp_c + glu__L_c <-- L2aadp_c + akg_c,Lysine Metabolism,Aadat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABTArm,"4-aminobutyrate transaminase, reversible (mitochondrial)",ABTArm: 4abut_m + akg_m <=> glu__L_m + sucsal_m,Glutamate metabolism,Abat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABUTD,Aminobutyraldehyde dehydrogenase,ABUTD: 4abutn_c + h2o_c + nad_c --> 4abut_c + 2.0 h_c + nadh_c,beta-Alanine metabolism,Aldh9a1,0.14185321485134972,0.1786194525289113,0.24001246684295127,0.28265068817213873,0.38037113949817,0.1777111763016565,0.4624588523120844,0.24870524831896787,0.2337671580138824,0.2113211109752685,0.29245442245160874,0.199938457465291
ABUTt2r,4 aminobutyrate reversible transport in via proton symport,ABUTt2r: 4abut_e + h_e <=> 4abut_c + h_c,"Transport, Extracellular",Slc36a1,0.1877279050163269,0.1732183030066481,0.22317213655978838,0.1775798683102703,0.044148948148199696,0.0347370233686553,0.018966141896568898,0.020969622953047398,0.1963244925861871,0.1431410439095415,0.1767554651300764,0.1900678030826229
ABUTt2rL,4-aminobutyrate reversible transport in via proton symport (lysosome),ABUTt2rL: 4abut_l + h_l <=> 4abut_c + h_c,"Transport, Lysosomal",Slc36a1,0.1877279050163269,0.1732183030066481,0.22317213655978838,0.1775798683102703,0.044148948148199696,0.0347370233686553,0.018966141896568898,0.020969622953047398,0.1963244925861871,0.1431410439095415,0.1767554651300764,0.1900678030826229
ABUTt4_2_r,ABUTt4 LPAREN 2 RPAREN r,ABUTt4_2_r: 4abut_e + 2.0 na1_e <=> 4abut_c + 2.0 na1_c,"Transport, Extracellular",Slc6a1;;;Slc6a11;;;Slc6a12;;;Slc6a13,0.010148460796031373,0.0027099812112755376,0.005271330225281094,0.0,0.0019870441702092415,0.0,0.01108930406948984,0.008119309417358306,0.006569642553850945,0.004859838659214847,0.010440346558726984,0.0026274549487923177
ACACT10m,Acetyl-CoA C-acyltransferase,ACACT10m: 2maacoa_m + coa_m <=> accoa_m + ppcoa_m,"Valine, Leucine, and Isoleucine Metabolism",Acat1,0.2202130241701136,0.27757606447011646,0.1861608787523529,0.23795213442770116,0.45334424366264253,0.6856474903801728,0.4973412269623724,0.5786181463721382,0.377436107425789,0.3936992720297859,0.601890751272794,0.4319425754497357
ACACT1m,Acetyl CoA C acetyltransferase  mitochondrial,ACACT1m: 2.0 accoa_m <=> aacoa_m + coa_m,Tryptophan metabolism,Acat1;;;Hadha;;;Hadhb,0.3433104621469698,0.3750279204360921,0.4223890862871581,0.3717608535897205,0.6621727792955062,0.7717353352587688,0.6766256384299829,0.7519665487793853,0.5127418632811458,0.48745229089542674,0.5146983798071194,0.5272536844435834
ACACT1r_copy1,Acetyl-CoA C-acetyltransferase,ACACT1r_copy1: 2.0 accoa_c --> aacoa_c + coa_c,Cholesterol Metabolism,Acat3,0.0,0.0020302095176222,0.0018808305747818003,0.0,0.0,0.0,0.0,0.0,0.0,0.0034809581644548,0.007612190432097501,0.0014266169633316
ACACT1r_copy2,Acetyl-CoA C-acetyltransferase,ACACT1r_copy2: 2.0 accoa_c <=> aacoa_c + coa_c,Tryptophan metabolism,Acat3,0.0,0.0020302095176222,0.0018808305747818003,0.0,0.0,0.0,0.0,0.0,0.0,0.0034809581644548,0.007612190432097501,0.0014266169633316
ACACT1x,Acetyl-CoA:acetyl-CoA C-acetyltransferase,ACACT1x: 2.0 accoa_x --> aacoa_x + coa_x,Cholesterol Metabolism,Acat3,0.0,0.0020302095176222,0.0018808305747818003,0.0,0.0,0.0,0.0,0.0,0.0,0.0034809581644548,0.007612190432097501,0.0014266169633316
ACACT8p,Acetyl CoA acyltransferase  hexadecanoyl CoA   peroxisomal,ACACT8p: 3ohodcoa_x + coa_x --> accoa_x + pmtcoa_x,Fatty Acid Metabolism,Acaa1a,1.0971818798009996,0.957540880034286,0.9571194814261824,0.871366672292856,0.5574282868846703,0.3568476650914159,0.9095305264385944,0.5954451068050479,1.1541944604655758,1.23782783235878,1.247592077752877,0.9063903625243191
ACACt2,Acetoacetate transport via proton symport,ACACt2: acac_e + h_e <=> acac_c + h_c,"Transport, Extracellular",Slc16a1;;;Slc16a7,0.03627837421448359,0.037301024907167205,0.02712298449531257,0.02348039487382038,0.10416688282438186,0.07542346078295135,0.06476925596927012,0.046601086447302306,0.03514679559920648,0.036506122873880595,0.04472062319144235,0.04891932092964759
ACACt2m,Acetoacetate mitochondrial transport via H+ symport,ACACt2m: acac_c + h_c <=> acac_m + h_m,"Transport, Mitochondrial",Slc16a1,0.039937712332700395,0.041984200994933496,0.0285619228639809,0.021000217228575698,0.18870628941607068,0.11348030021239572,0.1255974231405303,0.0911268644550765,0.020390658529574196,0.0334406707963391,0.0275546148149158,0.0319887609242977
ACCOAC,Acetyl-CoA carboxylase,ACCOAC: accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,Fatty Acid Metabolism,Acaca;;;Acacb,0.010907583833775521,0.012089181799969864,0.01675244135425994,0.007799682166178477,0.014909739343113331,0.02972800356818916,0.02868116602010038,0.01444137568155603,0.009079107148824905,0.016336069691605892,0.017220701352160327,0.012818145644110006
ACCOACrm,Acetyl Coa carboxylase  mitochondrial,ACCOACrm: accoa_m + atp_m + hco3_m --> adp_m + h_m + malcoa_m + pi_m,Fatty Acid Metabolism,Acacb,0.0023908344968727,0.0035018448760868004,0.0010976466455918,0.0037366973574076002,0.0,0.0,0.0,0.0,0.0034353017286129,0.002133136743451,0.0018841617364434,0.0025963706979600003
